         11993 function calls (11872 primitive calls) in 0.125 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:358(extend_all)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:230(__init__)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
       27    0.000    0.000    0.000    0.000 core.py:857(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:234(getdoc)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
1028/1006    0.000    0.000    0.000    0.000 {len}
     1387    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      270    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        8    0.000    0.000    0.000    0.000 core.py:7523(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 os.py:499(clear)
       40    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        8    0.000    0.000    0.000    0.000 core.py:7528(getdoc)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      270    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
      104    0.000    0.000    0.000    0.000 {posix.unsetenv}
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        2    0.000    0.000    0.000    0.000 function_base.py:9(linspace)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 os.py:506(copy)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       19    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
       51    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       18    0.000    0.000    0.000    0.000 core.py:935(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2655(MaskedArray)
